opportunity_id,customer_id,stage,amount,created_date,close_date
67,95,Lost,,2022-12-28,2023-01-06
68,15,Qualified,18822.56,2023-02-18,
69,125,Won,24260.97,2023-03-08,2023-03-27
70,69,Lead,46917.24,2021-09-27,
71,67,Won,19454.74,2022-01-11,2022-02-07
72,135,Qualified,37781.8,2022-06-04,
73,62,Won,31649.53,2023-03-03,2023-03-20
74,68,Proposal,4968.51,2023-02-10,
75,233,Won,10413.23,2022-05-21,2022-06-18
76,94,Qualified,15788.02,2023-08-03,
77,270,Lead,43344.33,2022-05-30,
78,341,Qualified,36337.5,2021-12-09,
79,47,Lost,,2023-05-23,2023-06-17
80,46,Won,9851.64,2022-08-23,2022-09-21
81,375,Lost,,2022-11-25,2023-01-04
82,411,Qualified,6189.7,2021-06-03,
83,170,Lost,,2021-05-23,2021-06-29
84,199,Lost,,2022-12-23,2023-01-07
85,451,Proposal,1203.76,2021-07-09,
86,167,Lost,,2021-01-27,2021-03-02
87,19,Lost,,2021-11-03,2021-11-20
88,303,Lead,13247.77,2023-07-31,
89,34,Lead,36615.32,2021-04-12,
90,399,Qualified,26639.39,2023-03-29,
91,330,Qualified,35181.34,2022-06-08,
92,252,Qualified,15993.82,2021-01-30,
93,376,Lost,,2021-12-29,2022-02-23
94,265,Lead,4516.44,2022-10-23,
95,253,Won,5377.04,2022-04-14,2022-04-28
96,270,Lost,,2022-02-04,2022-02-27
97,283,Proposal,26432.03,2022-05-11,
98,111,Lead,37793.98,2022-06-11,
99,344,Lost,,2023-08-26,2023-09-03
100,1,Lead,29640.9,2021-05-23,
101,482,Won,5260.2,2022-11-02,2022-11-23
102,165,Qualified,24678.5,2023-04-07,
103,208,Qualified,26083.3,2021-08-30,
104,281,Lost,,2021-06-03,2021-07-15
105,482,Proposal,15777.64,2021-11-01,
106,250,Won,22895.13,2023-01-15,2023-03-14
107,227,Proposal,2331.83,2021-03-22,
108,380,Lost,,2022-03-19,2022-04-02
109,224,Lead,24502.42,2023-01-01,
110,43,Lost,,2022-10-12,2022-11-09
111,332,Proposal,23488.45,2021-12-30,
112,199,Lost,,2023-05-15,2023-06-28
113,87,Qualified,42253.72,2021-12-11,
114,314,Qualified,19771.7,2021-08-13,
115,118,Lead,28890.31,2021-01-27,
116,493,Lead,27192.95,2021-09-06,
117,288,Proposal,43116.42,2022-08-14,
118,441,Lead,15236.85,2021-04-11,
119,180,Won,38408.77,2022-12-20,2023-02-16
120,83,Proposal,27761.54,2021-06-02,
121,67,Proposal,30965.05,2023-02-20,
122,485,Qualified,25499.23,2022-12-30,
123,218,Won,48760.57,2022-07-28,2022-08-06
124,133,Lost,,2023-04-17,2023-06-07
125,385,Lead,27570.52,2023-03-25,
126,181,Proposal,15833.97,2021-07-26,
127,195,Lost,,2023-09-02,2023-10-10
128,436,Qualified,45528.7,2023-05-28,
129,166,Proposal,36275.16,2023-03-07,
130,63,Proposal,34512.19,2023-03-22,
131,286,Lost,,2022-03-28,2022-04-02
132,179,Lead,6923.76,2021-05-05,
133,482,Qualified,20830.07,2021-05-01,
134,33,Qualified,12431.43,2023-06-22,
135,251,Lead,27792.84,2023-08-25,
136,21,Proposal,45023.84,2022-09-05,
137,247,Lost,,2022-12-13,2023-02-04
138,400,Lead,29887.8,2023-04-18,
139,74,Won,42999.66,2023-04-28,2023-05-23
140,440,Lead,27314.73,2022-09-19,
141,148,Won,14360.47,2021-05-19,2021-06-29
142,460,Lost,,2022-11-12,2023-01-06
143,493,Lead,26743.39,2021-01-13,
144,115,Won,42564.13,2021-09-30,2021-11-26
145,475,Won,8348.55,2021-08-14,2021-09-19
146,169,Qualified,3565.34,2021-11-11,
147,477,Qualified,8618.95,2023-02-24,
148,54,Lost,,2021-04-20,2021-05-25
149,304,Proposal,29342.88,2023-05-22,
150,273,Lead,18487.66,2023-04-18,
151,15,Won,13282.66,2022-12-12,2023-01-27
152,437,Won,49971.82,2022-10-01,2022-11-19
153,124,Proposal,10244.69,2022-06-24,
154,184,Proposal,26749.67,2021-03-26,
155,58,Lost,,2022-05-07,2022-06-20
156,459,Qualified,13441.77,2021-07-22,
157,304,Lost,,2021-06-11,2021-06-19
158,206,Proposal,16508.24,2022-07-25,
159,263,Lead,7247.89,2021-12-19,
160,405,Qualified,24315.14,2021-09-25,
161,45,Qualified,42985.7,2023-07-16,
162,479,Qualified,38295.3,2021-06-18,
163,57,Qualified,42595.41,2021-02-14,
164,223,Proposal,26430.86,2022-04-30,
165,68,Won,6546.2,2022-02-07,2022-02-25
166,311,Won,26531.06,2023-07-24,2023-09-07
167,11,Lead,46151.77,2021-07-16,
168,22,Won,14783.92,2022-07-01,2022-07-09
169,198,Qualified,47638.43,2021-06-05,
170,207,Won,3994.04,2022-06-24,2022-07-24
171,344,Won,41233.64,2022-01-11,2022-02-04
172,146,Lead,25488.82,2023-07-27,
173,16,Won,28527.02,2023-06-26,2023-07-27
174,25,Proposal,24246.46,2022-03-08,
175,71,Qualified,25863.98,2022-07-11,
176,8,Qualified,45390.23,2023-07-19,
177,465,Lead,10137.63,2023-08-12,
178,244,Qualified,24375.26,2021-03-03,
179,467,Lead,33853.18,2021-05-25,
180,331,Proposal,37216.72,2022-07-18,
181,420,Proposal,22823.2,2023-09-24,
182,437,Proposal,49446.2,2021-05-01,
183,125,Lost,,2021-08-15,2021-10-01
184,394,Proposal,14196.3,2021-11-10,
185,456,Won,30108.15,2021-02-27,2021-03-12
186,141,Proposal,13837.64,2022-12-17,
187,308,Won,27796.45,2021-10-05,2021-11-14
188,200,Won,18202.16,2023-01-24,2023-03-16
189,383,Lost,,2023-04-18,2023-06-06
190,40,Proposal,34926.3,2021-09-28,
191,323,Proposal,2729.33,2022-07-26,
192,332,Proposal,48106.13,2022-07-18,
193,128,Lead,28920.0,2022-01-31,
194,464,Qualified,29168.13,2021-03-05,
195,46,Won,4869.82,2021-04-19,2021-05-13
196,305,Lost,,2021-09-24,2021-11-06
197,399,Qualified,9258.01,2022-04-06,
198,7,Lead,31069.04,2021-06-05,
199,157,Won,36877.74,2021-06-04,2021-07-25
200,212,Proposal,45698.6,2022-02-17,
201,107,Won,43581.93,2021-05-26,2021-07-08
202,92,Lead,1545.37,2022-07-21,
203,171,Lead,7887.57,2021-12-26,
204,17,Lead,43454.39,2023-07-21,
205,448,Proposal,13210.55,2022-12-03,
206,408,Won,2890.15,2022-10-30,2022-11-18
207,68,Proposal,13510.01,2021-12-11,
208,36,Won,14620.59,2021-10-16,2021-11-15
209,115,Lead,48949.64,2023-02-17,
210,464,Lost,,2022-11-10,2022-12-12
211,278,Proposal,31827.53,2022-12-31,
212,469,Qualified,44307.61,2022-12-05,
213,221,Qualified,13897.73,2023-08-17,
214,179,Lead,11942.78,2021-05-17,
215,316,Lead,15419.69,2021-08-29,
216,156,Proposal,37490.72,2021-08-30,
217,344,Qualified,13868.47,2021-06-05,
218,409,Lead,12187.47,2023-01-19,
219,26,Won,14969.43,2021-10-19,2021-12-15
220,125,Lost,,2022-08-24,2022-09-17
221,497,Lead,6014.66,2021-03-19,
222,117,Qualified,41161.05,2021-03-28,
223,283,Lost,,2023-01-05,2023-01-10
224,354,Qualified,23216.96,2022-07-26,
225,130,Qualified,12004.96,2021-01-15,
226,155,Won,15700.63,2023-09-20,2023-09-25
227,400,Won,35353.43,2021-09-08,2021-10-26
228,264,Qualified,46294.84,2023-05-28,
229,43,Qualified,11489.62,2023-04-09,
230,172,Won,25368.3,2021-05-27,2021-06-30
231,240,Won,18063.86,2023-06-17,2023-06-30
232,309,Lead,11926.75,2021-06-12,
233,472,Lead,46531.18,2023-03-17,
234,439,Proposal,16960.01,2021-09-24,
235,10,Won,39607.92,2021-07-07,2021-07-31
236,277,Lost,,2021-09-29,2021-10-22
237,107,Lead,5775.63,2021-10-09,
238,496,Proposal,37505.3,2022-01-30,
239,387,Lead,2025.34,2021-05-25,
240,215,Proposal,46665.44,2021-04-08,
241,316,Lead,49000.17,2022-05-01,
242,480,Lost,,2023-07-03,2023-08-11
243,77,Won,37361.59,2021-07-19,2021-07-30
244,454,Lead,46945.4,2021-02-27,
245,361,Won,11559.46,2022-08-19,2022-08-30
246,338,Won,43960.56,2022-09-25,2022-11-07
247,169,Lead,18192.52,2023-04-28,
248,293,Lead,32918.15,2021-07-22,
249,481,Lost,,2023-01-06,2023-03-05
250,102,Proposal,20790.11,2021-11-19,
251,288,Lost,,2021-06-08,2021-06-25
252,405,Qualified,27240.43,2021-11-23,
253,365,Lead,5598.84,2021-06-04,
254,324,Lead,1106.94,2023-03-03,
255,128,Proposal,8449.46,2021-10-06,
256,167,Lead,5676.08,2022-04-16,
257,168,Lost,,2023-08-06,2023-09-05
258,331,Lead,3128.42,2023-05-31,
259,29,Won,10586.25,2022-11-29,2023-01-12
260,263,Won,13485.7,2022-04-30,2022-06-19
261,334,Proposal,8180.12,2022-05-19,
262,395,Lost,,2022-05-18,2022-06-22
263,446,Lead,8613.44,2021-06-04,
264,69,Lost,,2022-04-15,2022-06-11
265,168,Qualified,8393.34,2021-04-20,
266,270,Won,20546.37,2021-12-06,2022-01-26
267,476,Lost,,2022-06-17,2022-08-06
268,481,Lead,20114.73,2023-07-11,
269,417,Proposal,19984.03,2022-03-19,
270,398,Proposal,48844.11,2023-04-06,
271,124,Qualified,43186.77,2022-05-07,
272,33,Proposal,21570.18,2021-09-18,
273,115,Won,48432.31,2023-04-27,2023-05-24
274,150,Lost,,2022-03-10,2022-03-18
275,382,Lead,1678.48,2023-07-23,
276,77,Lost,,2023-04-23,2023-05-22
277,147,Proposal,8522.24,2021-11-05,
278,480,Lead,24508.56,2022-10-01,
279,45,Qualified,6874.25,2023-07-06,
280,58,Won,24384.27,2021-03-15,2021-04-30
281,251,Lost,,2022-08-30,2022-09-26
282,172,Lead,10538.59,2021-10-20,
283,4,Lost,,2023-06-04,2023-07-29
284,355,Qualified,23697.53,2022-04-28,
285,309,Qualified,47365.06,2022-05-21,
286,133,Proposal,25308.77,2023-01-05,
287,444,Qualified,17690.55,2023-03-21,
288,352,Lead,46214.45,2022-02-20,
289,395,Lead,38117.71,2022-05-30,
290,318,Qualified,37203.94,2022-08-14,
291,296,Proposal,45399.39,2021-05-09,
292,122,Lead,11130.59,2023-09-11,
293,48,Lead,46484.33,2022-07-12,
294,24,Lost,,2022-05-25,2022-07-11
295,358,Won,30509.3,2023-04-06,2023-05-17
296,441,Lost,,2022-03-10,2022-04-09
297,413,Won,17174.07,2023-04-06,2023-04-13
298,314,Lead,1197.1,2022-10-04,
299,25,Won,36471.01,2021-05-01,2021-05-17
300,435,Proposal,13357.47,2023-04-13,
301,3,Lead,49988.23,2022-09-09,
302,73,Won,23232.43,2021-01-16,2021-02-03
303,76,Lead,21732.05,2021-03-22,
304,177,Qualified,15511.04,2021-12-08,
305,371,Lead,39498.53,2022-08-15,
306,102,Won,36971.48,2023-07-18,2023-07-25
307,15,Lead,43631.8,2021-11-13,
308,205,Won,41616.97,2023-01-07,2023-02-24
309,379,Qualified,45416.57,2023-09-21,
310,238,Lead,37204.82,2022-04-10,
311,131,Won,11983.35,2023-02-08,2023-02-22
312,168,Lost,,2021-06-24,2021-08-20
313,445,Lost,,2021-11-06,2021-11-22
314,91,Lost,,2023-05-15,2023-06-11
315,78,Won,31809.31,2022-11-06,2022-12-19
316,287,Lost,,2022-02-13,2022-02-21
317,78,Lost,,2022-07-19,2022-09-01
318,488,Qualified,21240.34,2021-01-22,
319,258,Qualified,23287.27,2023-07-02,
320,212,Lead,19323.05,2021-07-27,
321,449,Won,17129.92,2021-01-18,2021-02-15
322,125,Proposal,41246.89,2021-02-19,
323,450,Lost,,2023-08-25,2023-09-10
324,163,Qualified,5886.47,2022-03-18,
325,465,Proposal,17585.14,2021-03-19,
326,465,Won,19014.03,2023-06-08,2023-07-05
327,123,Lost,,2023-08-17,2023-09-13
328,11,Won,26172.66,2022-09-17,2022-11-07
329,374,Lead,24108.4,2021-10-28,
330,257,Lead,11157.39,2022-09-25,
331,461,Qualified,5113.88,2023-05-27,
332,161,Won,36771.98,2022-02-17,2022-02-27
333,334,Qualified,19326.74,2021-04-26,
334,135,Won,18469.47,2021-07-23,2021-08-28
335,216,Qualified,31208.38,2022-11-05,
336,21,Proposal,23882.51,2022-03-18,
337,163,Lead,15919.59,2022-01-13,
338,176,Won,10034.3,2021-09-27,2021-11-25
339,150,Lost,,2023-01-11,2023-02-27
340,251,Lost,,2023-02-01,2023-03-17
341,452,Lead,13160.31,2021-03-12,
342,398,Won,35890.04,2021-10-23,2021-11-04
343,438,Won,26830.47,2021-06-22,2021-07-11
344,276,Won,30644.55,2021-08-10,2021-08-21
345,476,Won,46047.8,2021-11-13,2021-11-19
346,408,Qualified,12311.02,2023-04-16,
347,492,Lost,,2021-08-21,2021-09-30
348,287,Proposal,26871.72,2021-02-05,
349,260,Qualified,41112.05,2022-02-26,
350,221,Won,48508.46,2022-10-15,2022-11-29
351,148,Lead,5674.07,2021-07-17,
352,65,Won,18142.84,2022-03-21,2022-05-19
353,49,Proposal,34705.77,2022-04-16,
354,462,Lead,48179.42,2021-03-12,
355,472,Won,23735.36,2023-04-16,2023-05-11
356,291,Qualified,22806.74,2022-01-28,
357,308,Proposal,16459.41,2023-01-24,
358,152,Lost,,2021-12-10,2022-02-01
359,128,Proposal,28557.91,2022-01-03,
360,467,Proposal,4384.48,2022-09-19,
361,249,Lead,1905.35,2022-11-22,
362,376,Lead,5383.0,2023-05-02,
363,3,Qualified,39368.78,2023-08-24,
364,10,Proposal,22987.05,2021-11-12,
365,332,Proposal,30800.04,2022-01-12,
366,453,Qualified,9037.49,2023-05-13,
367,129,Won,22492.05,2022-01-03,2022-02-28
368,1,Won,1733.3,2021-03-13,2021-05-08
369,173,Won,13598.29,2022-06-12,2022-08-09
370,228,Lead,33971.04,2023-01-29,
371,14,Lead,10506.56,2022-10-22,
372,316,Proposal,11643.51,2021-07-14,
373,66,Lead,12984.12,2021-08-21,
374,40,Qualified,1324.0,2023-03-25,
375,263,Lead,47661.68,2023-02-23,
376,264,Won,16036.3,2022-11-05,2022-12-18
377,14,Lost,,2021-08-14,2021-09-11
378,290,Qualified,39738.07,2021-01-10,
379,235,Qualified,29570.77,2021-03-07,
380,107,Qualified,30415.47,2023-06-04,
381,59,Lead,48538.9,2021-08-14,
382,489,Won,19717.7,2023-07-08,2023-07-20
383,169,Proposal,15300.19,2022-07-31,
384,297,Won,2924.32,2023-01-10,2023-02-18
385,318,Qualified,42758.08,2022-08-30,
386,493,Qualified,43495.59,2022-09-14,
387,332,Qualified,45968.59,2021-09-01,
388,365,Lost,,2021-04-09,2021-04-30
389,381,Proposal,26777.23,2022-07-21,
390,483,Lead,42611.39,2022-12-19,
391,356,Lead,30713.62,2023-09-23,
392,233,Won,33928.29,2022-10-10,2022-11-29
393,156,Proposal,40981.23,2022-05-30,
394,196,Qualified,38275.22,2021-07-04,
395,62,Lost,,2021-09-12,2021-11-08
396,302,Lost,,2021-04-05,2021-04-15
397,416,Lost,,2021-04-28,2021-05-04
398,227,Lost,,2021-10-25,2021-12-09
399,496,Lead,46429.4,2021-11-23,
400,423,Lost,,2023-03-31,2023-05-22
401,117,Lead,9058.12,2021-12-10,
402,468,Lost,,2023-08-20,2023-08-30
403,401,Qualified,37186.2,2021-11-06,
404,126,Qualified,13729.97,2021-06-10,
405,442,Lost,,2021-10-18,2021-12-08
406,337,Won,17269.73,2023-08-04,2023-09-07
407,107,Qualified,42079.74,2022-10-10,
408,384,Lost,,2022-09-21,2022-11-06
409,312,Lost,,2022-04-16,2022-06-04
410,296,Lost,,2021-02-23,2021-04-05
411,54,Lost,,2021-09-03,2021-10-27
412,417,Won,23833.67,2021-10-26,2021-11-07
413,417,Won,17496.29,2022-02-09,2022-03-05
414,499,Qualified,21290.42,2022-12-13,
415,450,Proposal,47753.17,2021-11-08,
416,336,Lead,22900.9,2023-03-16,
417,121,Qualified,13547.8,2023-04-07,
418,27,Won,10231.43,2023-05-08,2023-07-02
419,431,Won,41996.62,2023-08-28,2023-10-15
420,300,Proposal,21508.92,2023-05-12,
421,309,Lost,,2021-10-03,2021-12-02
422,308,Proposal,34268.5,2022-11-30,
423,444,Lead,37811.9,2023-03-28,
424,10,Lost,,2022-09-25,2022-10-29
425,153,Proposal,2233.12,2021-07-28,
426,446,Qualified,9968.83,2022-01-08,
427,389,Proposal,21277.08,2022-01-19,
428,158,Lead,43129.1,2022-02-23,
429,374,Won,30584.2,2023-09-07,2023-11-02
430,98,Qualified,13881.0,2023-06-18,
431,413,Qualified,24541.15,2022-12-07,
432,14,Proposal,9616.31,2022-06-13,
433,500,Qualified,3441.27,2022-12-02,
434,102,Lead,15193.91,2022-08-12,
435,301,Lost,,2022-02-03,2022-03-06
436,171,Qualified,36489.96,2021-05-04,
437,40,Proposal,1595.46,2022-12-09,
438,196,Won,21199.31,2022-11-21,2022-12-28
439,79,Won,42029.4,2021-04-12,2021-05-29
440,200,Qualified,23396.42,2022-03-14,
441,99,Lost,,2022-02-28,2022-03-29
442,136,Won,1436.27,2021-10-12,2021-10-21
443,474,Won,32596.21,2023-04-10,2023-05-05
444,256,Proposal,7994.5,2022-05-20,
445,262,Proposal,48971.64,2022-07-09,
446,409,Won,9163.19,2021-09-29,2021-11-25
447,195,Lost,,2022-09-29,2022-11-16
448,76,Proposal,1819.8,2023-04-30,
449,51,Won,29904.47,2023-05-13,2023-07-08
450,247,Won,16756.66,2022-07-13,2022-08-28
451,120,Lead,31351.91,2021-07-24,
452,80,Won,10629.74,2022-04-17,2022-05-29
453,492,Lost,,2021-12-09,2022-01-03
454,232,Lead,24095.23,2023-04-02,
455,28,Won,47768.13,2022-10-23,2022-11-04
456,205,Lead,27925.13,2022-07-19,
457,57,Lost,,2022-10-08,2022-11-28
458,121,Lead,13103.89,2021-09-10,
459,345,Lead,25371.68,2021-03-28,
460,51,Lost,,2021-12-10,2021-12-30
461,292,Proposal,22692.21,2022-05-13,
462,280,Lost,,2023-06-18,2023-08-12
463,408,Proposal,35932.85,2022-10-25,
464,492,Proposal,16133.61,2022-04-03,
465,223,Proposal,26006.62,2023-05-14,
466,390,Lost,,2021-12-31,2022-01-26
467,58,Lost,,2021-05-16,2021-06-11
468,106,Won,47354.03,2021-02-10,2021-03-15
469,475,Qualified,27229.71,2023-08-01,
470,396,Won,41391.05,2023-02-25,2023-03-05
471,201,Proposal,7796.01,2021-02-09,
472,478,Won,5063.88,2022-08-15,2022-09-16
473,372,Lost,,2022-05-13,2022-06-05
474,313,Proposal,20754.81,2021-05-12,
475,260,Proposal,11476.89,2023-01-25,
476,31,Qualified,43583.86,2022-09-04,
477,104,Lead,47064.03,2022-07-15,
478,103,Won,9176.35,2022-09-29,2022-10-29
479,307,Qualified,24024.89,2021-10-14,
480,246,Lead,17753.48,2021-10-16,
481,488,Lost,,2021-11-05,2022-01-04
482,495,Proposal,13962.88,2023-04-13,
483,116,Qualified,26264.71,2021-08-07,
484,70,Proposal,39811.7,2022-07-08,
485,201,Qualified,12826.88,2022-08-21,
486,402,Proposal,2685.67,2021-08-22,
487,80,Lead,16345.21,2022-07-07,
488,215,Won,23577.98,2022-11-23,2023-01-13
489,219,Lead,49878.28,2022-12-24,
490,284,Won,21115.83,2022-07-04,2022-08-13
491,93,Lead,34740.32,2022-07-03,
492,302,Won,29605.76,2022-02-20,2022-04-08
493,447,Won,14642.93,2021-12-13,2022-02-10
494,246,Won,14825.21,2022-06-28,2022-07-27
495,88,Lead,42542.81,2022-12-13,
496,207,Proposal,27305.33,2021-02-04,
497,285,Lost,,2022-02-18,2022-03-27
498,350,Proposal,32563.1,2023-01-18,
499,190,Won,31631.22,2022-02-14,2022-02-27
500,385,Won,39107.04,2023-01-02,2023-02-20
501,382,Lost,,2023-01-26,2023-02-08
502,186,Won,14500.89,2023-09-07,2023-10-02
503,85,Lost,,2021-07-31,2021-08-11
504,45,Qualified,40500.5,2023-09-18,
505,65,Qualified,1000.19,2022-09-23,
506,47,Proposal,34475.09,2022-01-15,
507,450,Proposal,28916.94,2023-06-21,
508,273,Won,30307.03,2021-01-13,2021-02-02
509,342,Proposal,26115.44,2022-05-08,
510,327,Won,29597.0,2021-06-05,2021-06-14
511,313,Lost,,2023-07-22,2023-08-20
512,399,Won,2390.71,2021-11-22,2021-12-28
513,153,Lost,,2022-07-06,2022-08-06
514,157,Lead,29318.07,2021-11-05,
515,285,Won,48797.57,2021-11-05,2021-12-01
516,196,Lead,15246.4,2021-12-09,
517,484,Lost,,2021-10-29,2021-11-08
518,10,Lost,,2023-06-21,2023-07-11
519,500,Won,10798.73,2021-12-17,2022-01-07
520,180,Qualified,45471.72,2022-01-29,
521,144,Won,42214.54,2023-08-26,2023-10-21
522,436,Won,25384.32,2023-03-01,2023-03-23
523,295,Won,19598.04,2022-06-19,2022-06-29
524,65,Proposal,4329.9,2021-06-30,
525,387,Lost,,2022-09-21,2022-11-06
526,440,Qualified,12866.3,2023-01-22,
527,497,Lost,,2021-02-27,2021-03-20
528,304,Won,20403.74,2021-03-05,2021-04-28
529,200,Won,5049.64,2022-09-19,2022-11-17
530,117,Proposal,25739.13,2023-09-10,
531,221,Qualified,15942.27,2023-09-17,
532,66,Lost,,2023-05-31,2023-06-07
533,419,Qualified,35279.99,2021-02-14,
534,257,Qualified,32040.29,2022-09-05,
535,38,Lost,,2022-07-07,2022-08-14
536,94,Lead,34264.63,2023-06-26,
537,84,Lost,,2023-06-09,2023-07-04
538,127,Won,26485.87,2022-02-10,2022-03-10
539,245,Proposal,29853.33,2022-05-26,
540,365,Qualified,30058.79,2021-07-27,
541,123,Won,47473.84,2023-03-20,2023-04-16
542,386,Lost,,2021-01-27,2021-03-07
543,416,Qualified,16973.71,2023-03-24,
544,209,Proposal,2617.34,2021-10-05,
545,200,Lead,44685.06,2021-01-08,
546,386,Lost,,2023-03-03,2023-03-22
547,149,Lead,32086.86,2022-09-18,
548,175,Lost,,2022-10-15,2022-11-20
549,243,Won,13528.8,2021-07-14,2021-08-31
550,179,Lead,17181.44,2021-07-06,
551,124,Lost,,2021-03-15,2021-04-02
552,396,Lost,,2021-02-24,2021-04-19
553,339,Won,20554.57,2022-01-29,2022-02-14
554,169,Qualified,21069.04,2022-06-02,
555,319,Lost,,2023-07-19,2023-08-16
556,289,Won,8697.65,2023-08-25,2023-10-19
557,301,Won,7664.19,2023-05-03,2023-05-22
558,201,Proposal,11584.31,2023-05-29,
559,390,Won,7093.98,2021-02-26,2021-04-15
560,485,Won,15221.42,2023-05-18,2023-06-17
561,162,Proposal,5292.32,2023-04-30,
562,444,Lost,,2021-01-27,2021-02-01
563,396,Lead,36331.35,2023-04-17,
564,373,Lead,14720.53,2023-08-17,
565,206,Lead,8390.34,2021-05-18,
566,10,Proposal,28199.9,2021-02-17,
567,280,Won,11230.46,2022-10-22,2022-11-10
568,498,Lead,43322.75,2023-05-03,
569,63,Won,36545.1,2022-02-27,2022-04-28
570,70,Won,33949.32,2022-01-08,2022-02-07
571,201,Lead,7802.09,2022-11-10,
572,424,Lead,49736.42,2021-12-23,
573,221,Qualified,32914.28,2021-08-26,
574,221,Proposal,4786.32,2022-08-15,
575,363,Lead,21142.59,2021-04-25,
576,384,Won,14390.9,2021-04-05,2021-06-04
577,81,Won,4016.54,2021-03-14,2021-04-25
578,177,Lost,,2022-02-05,2022-03-08
579,484,Proposal,1091.52,2021-06-30,
580,21,Proposal,23367.36,2021-08-31,
581,44,Qualified,9260.94,2022-09-09,
582,335,Won,33939.67,2022-07-12,2022-07-18
583,349,Lost,,2021-07-12,2021-09-02
584,214,Lost,,2021-12-24,2022-02-20
585,178,Qualified,21855.86,2021-05-02,
586,182,Lead,23516.94,2021-03-05,
587,405,Lost,,2023-01-05,2023-03-01
588,352,Won,47797.56,2021-10-28,2021-12-06
589,73,Lead,40705.04,2021-01-30,
590,280,Qualified,8711.8,2022-07-06,
591,451,Won,26625.62,2021-04-17,2021-05-15
592,41,Lead,10444.13,2022-01-22,
593,489,Qualified,20286.11,2023-03-22,
594,244,Won,33087.67,2021-06-15,2021-06-24
595,76,Lead,28719.52,2022-02-28,
596,266,Qualified,10129.39,2022-09-30,
597,429,Won,30138.23,2022-04-23,2022-05-21
598,266,Proposal,38093.1,2022-06-16,
599,239,Proposal,19533.67,2022-05-30,
600,86,Lead,4989.62,2022-09-26,
601,8,Lead,49723.1,2023-07-27,
602,275,Proposal,31266.43,2023-02-21,
603,205,Won,42601.42,2021-03-08,2021-05-07
604,27,Won,48979.57,2022-11-23,2023-01-19
605,312,Proposal,37139.79,2022-05-22,
606,413,Lost,,2021-06-16,2021-07-30
607,419,Lead,41053.35,2022-03-20,
